# squared distance, heading (radians)
19.943782,1.566664
20.220517,1.644869
20.527032,1.665425
20.107689,1.613849
20.190596,1.498143
20.361517,1.546328
20.461007,1.503329
20.194438,1.599185
19.966707,1.585257
20.093266,1.472985
20.442460,1.550097
19.841714,1.513671
19.544701,1.487804
19.509997,1.481788
19.564992,1.516978
18.432832,1.413462
18.393589,1.407633
18.581716,1.396101
18.769817,1.449136
17.495399,1.404809
16.845952,1.449525
16.649015,1.394200
16.869807,1.471457
16.041893,1.431900
16.557617,1.491141
15.547472,1.455086
14.702098,1.448584
13.855073,1.403424
13.129752,1.530852
12.233931,1.457810
11.632332,1.379884
11.178938,1.397089
10.389251,1.487160
9.954379,1.419088
9.137326,1.463735
8.394770,1.434631
8.202299,1.374801
7.294575,1.378275
7.890856,1.412348
6.280952,1.395894
6.729044,1.401628
5.512574,1.262766
4.760245,1.314193
4.269247,1.319336
4.159297,1.316515
3.846103,1.361601
3.324388,1.332691
3.031840,1.284895
3.152634,1.370396
2.574644,1.191850
2.096665,1.208674
1.753851,1.193183
1.689431,1.203736
1.101480,1.107568
1.516540,1.103659
0.694362,0.991061
0.702897,1.042584
0.959880,1.086988
0.702200,0.946966
0.593170,0.827604
0.385104,0.706615
1.515092,0.513423
0.111050,0.374303
0.368538,0.179924
0.460641,0.023867
0.176287,-0.218570
0.207122,-0.404685
0.887884,-0.551460
0.433595,-0.701204
0.444640,-0.832910
0.433114,-0.909523
0.476127,-0.905010
1.032802,-0.974559
1.081760,-1.088091
1.660680,-1.143364
1.699476,-1.111836
1.858272,-1.219784
1.359351,-1.203837
2.065804,-1.274942
2.332333,-1.231184
2.837490,-1.199084
2.611750,-1.246605
3.106754,-1.359553
3.699964,-1.346243
3.991981,-1.302009
4.798466,-1.368127
4.913126,-1.353044
5.103095,-1.331615
6.086050,-1.403830
6.674953,-1.388658
6.977787,-1.393603
6.929924,-1.382645
7.862683,-1.413454
8.353810,-1.405896
8.854310,-1.448886
9.787437,-1.394246
10.717878,-1.324201
11.098662,-1.429503
11.766419,-1.471669
12.828063,-1.397703
12.850436,-1.459988
14.279754,-1.472493
14.412565,-1.466472
15.197449,-1.465003
16.586425,-1.465033
17.047590,-1.474790
16.758498,-1.438140
16.811922,-1.435021
17.443363,-1.442914
18.681082,-1.413276
18.677133,-1.498546
19.036966,-1.386965
18.975146,-1.464988
19.323096,-1.409456
19.810474,-1.389236
19.784587,-1.413231
20.087917,-1.430945
20.038182,-1.403374
20.936973,-1.400044
20.892769,-1.270465
21.120871,-1.362577
21.769240,-1.374720
21.693639,-1.325083
21.241708,-1.382830
20.951586,-1.312829
20.761149,-1.365258
21.440729,-1.302347
21.847154,-1.245486
20.782686,-1.316446
21.129276,-1.229838
21.552186,-1.239659
20.549373,-1.285458
20.675537,-1.195547
19.964311,-1.181275
20.400217,-1.231987
19.743344,-1.219230
19.798119,-1.254457
19.165776,-1.190276
19.009244,-1.226316
19.054195,-1.162164
18.394193,-1.233810
17.820976,-1.235221
17.795944,-1.197851
16.839191,-1.145578
15.894652,-1.155624
15.238712,-1.106105
14.909163,-1.156622
13.817461,-1.132309
13.324897,-1.090651
12.490968,-1.174772
12.237062,-1.081612
11.021911,-1.132136
11.232938,-1.129471
10.346196,-1.131362
9.435444,-1.034299
9.138417,-1.176125
8.055197,-0.994957
8.459978,-1.020128
6.864447,-1.071276
6.752936,-1.002641
6.799715,-0.903957
6.450011,-0.963520
5.724494,-0.934505
5.331047,-0.973820
5.524824,-0.860492
4.908656,-0.813019
4.052730,-0.811949
3.832476,-0.782411
3.506400,-0.660488
3.748754,-0.674737
3.064768,-0.504372
3.135510,-0.482668
2.698548,-0.545730
3.274135,-0.508885
2.904471,-0.454336
2.289736,-0.347269
1.914438,-0.384525
2.553167,-0.179110
2.239828,-0.163322
2.010706,-0.128254
2.522378,-0.023697
2.761402,-0.065015
2.464296,0.097400
2.328919,0.223962
2.653336,0.209065
2.316930,0.195404
2.095647,0.313811
3.182078,0.430885
2.804459,0.429621
2.573594,0.437821
2.584403,0.567766
3.275645,0.605202
3.410175,0.598714
4.215545,0.674864
3.887760,0.724276
4.023349,0.806947
5.098605,0.781498
4.562010,0.837076
4.955987,0.883152
5.559668,0.890882
5.796318,1.012838
6.287656,0.892756
6.182059,1.003004
6.995129,0.930848
7.493703,1.040144
7.602163,0.948607
8.714969,1.066936
8.320021,1.016066
9.398045,1.110992
10.490078,1.065385
10.369327,1.070045
10.607976,1.152712
11.863696,1.129296
13.069510,1.131333
12.869935,1.194782
14.243974,1.233601
14.848450,1.186722
15.062981,1.171826
15.577349,1.201713
17.013785,1.232053
17.407392,1.223075
18.623414,1.239562
18.358887,1.165542
19.273245,1.181093
19.367680,1.204253
19.926928,1.282222
19.708102,1.207218
20.258368,1.209830
20.534630,1.196092
21.447338,1.205062
21.120526,1.231837
22.235366,1.286558
22.668225,1.175538
23.132816,1.246569
23.023424,1.181742
23.221378,1.163725
23.976420,1.166216
23.892257,1.121338
24.079198,1.171446
24.169069,1.175491
24.320114,1.153668
25.002258,1.047755
24.581399,1.075047
24.052769,1.129177
24.649002,1.111922
24.971297,1.084869
24.714582,1.048586
25.112915,1.152480
24.299780,1.127106
24.464184,1.042657
24.408725,1.084749
23.933098,1.044410
23.466504,1.035584
23.031175,1.014734
22.948657,1.076578
23.009473,1.143767
22.625049,1.122625
22.726491,0.955491
21.628378,0.972530
21.725477,1.073792
20.854280,0.995486
20.284241,0.994166
19.398339,0.984805
18.438487,0.991092
17.823907,0.931358
17.878594,1.012338
15.785083,0.915970
15.969206,0.811561
15.104944,0.896287
14.733100,0.884612
13.732026,0.876458
13.228097,0.837949
12.658450,0.763204
12.474412,0.786152
12.167793,0.720956
11.716253,0.764698
11.142466,0.752388
10.732947,0.696261
10.022759,0.665151
9.733392,0.698956
9.420087,0.663668
9.425451,0.583450
9.094957,0.579202
8.014645,0.526781
8.080366,0.477198
7.768122,0.457186
7.352065,0.490692
7.396061,0.451440
7.325141,0.380667
6.902210,0.308328
6.879733,0.394239
6.657615,0.305294
6.912391,0.260637
6.287337,0.172043
6.127667,0.218995
6.468326,0.123822
6.993241,0.092746
6.850562,0.088162
6.225006,-0.055331
6.388912,-0.090370
6.157105,-0.046728
6.010520,-0.109756
6.362070,-0.175525
6.368008,-0.246103
6.630327,-0.273043
7.136061,-0.305136
6.856845,-0.352496
